"checkings","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"4",15,"4","furniture_equipment",1471,"1","3","4","3","1","4","4",35,"3","3","2_to_3","3","2","2","2",0
"4",24,"2","car_used",5511,"2","3","4","3","1","1","3",25,"2","2","1","3","2","1","2",0
"2",9,"2","furniture_equipment",1206,"1","5","4","2","1","4","1",25,"3","2","1","3","2","1","2",0
"4",12,"3","car_new",1503,"1","3","4","4","1","4","1",41,"3","1","1","3","2","1","2",0
"2",27,"2","travel",2528,"1","2","4","2","1","1","2",32,"3","2","1","3","1","2","2",0
"2",12,"2","travel",1037,"2","4","3","3","1","4","1",39,"3","2","1","2","2","1","2",0
"1",6,"2","car_new",1352,"3","1","1","2","1","2","2",23,"3","1","1","1","2","2","2",0
"2",48,"2","business",5381,"5","1","3","3","1","4","4",40,"1","3","1","1","2","2","2",0
"4",15,"2","car_new",4657,"1","3","3","3","1","2","3",30,"3","2","1","3","2","2","2",0
"2",9,"2","travel",1391,"1","3","2","4","1","1","1",27,"1","2","1","3","2","2","2",0
"2",18,"2","travel",1913,"4","2","3","4","1","3","1",36,"1","2","1","3","2","2","2",0
"4",42,"2","furniture_equipment",7166,"5","4","2","4","1","4","2",29,"3","1","1","3","2","2","2",0
"4",24,"3","travel",2978,"5","3","4","3","1","4","1",32,"3","2","2_to_3","3","1","2","2",0
"4",12,"4","furniture_equipment",976,"5","5","4","3","1","4","3",35,"3","2","2_to_3","3","2","1","2",0
"4",24,"3","travel",2375,"3","3","4","3","1","2","3",44,"3","2","2_to_3","3","1","2","2",0
"4",12,"4","furniture_equipment",522,"3","5","4","3","1","4","2",42,"3","2","2_to_3","3","1","2","2",0
"4",28,"4","furniture_equipment",2743,"1","5","4","3","1","2","3",29,"3","2","2_to_3","3","2","1","2",0
"4",11,"4","furniture_equipment",1154,"2","1","4","2","1","4","1",57,"3","2","4_or_more","2","2","1","2",0
"4",24,"4","car_new",5804,"4","3","4","3","1","2","1",27,"3","2","2_to_3","3","2","1","2",0
"4",18,"4","furniture_equipment",1169,"5","3","4","3","1","3","2",29,"3","2","2_to_3","3","2","2","2",0
"4",12,"2","furniture_equipment",776,"1","3","4","4","1","2","1",28,"3","2","1","3","2","1","2",0
"2",11,"4","other",1322,"4","3","4","2","1","4","3",40,"3","2","2_to_3","3","2","1","2",0
"2",16,"4","other",1175,"1","1","2","3","1","3","3",68,"3","3","4_or_more","1","2","2","2",0
"4",15,"4","furniture_equipment",1829,"1","5","4","3","1","4","3",46,"3","2","2_to_3","3","2","2","2",0
"4",12,"4","furniture_equipment",717,"1","5","4","3","1","4","1",52,"3","2","4_or_more","3","2","1","2",0
"2",9,"4","repairs",1501,"1","5","2","2","1","3","3",34,"3","2","2_to_3","4","2","2","2",1
"2",9,"2","other",3195,"5","3","1","2","1","2","1",33,"3","2","1","2","2","1","2",0
"2",15,"4","travel",2326,"3","3","2","3","1","4","3",27,"1","2","1","3","2","1","2",0
"2",18,"4","travel",1887,"5","3","4","4","1","4","1",28,"1","2","2_to_3","3","2","1","2",0
"4",7,"3","furniture_equipment",846,"5","5","3","3","1","4","4",36,"3","3","1","3","2","1","2",0
"4",15,"4","repairs",1532,"2","3","4","2","1","3","3",31,"3","2","1","3","2","1","2",0
"4",6,"3","furniture_equipment",935,"1","3","3","2","1","2","1",24,"3","2","1","3","2","1","2",0
"1",27,"4","travel",2442,"1","5","4","3","1","4","3",43,"2","2","4_or_more","4","1","2","2",0
"2",18,"4","travel",3590,"1","1","3","4","1","3","3",40,"3","2","4_or_more","1","1","2","2",0
"1",39,"4","car_used",14179,"5","4","4","3","1","4","2",30,"3","2","2_to_3","4","2","2","2",0
"4",15,"2","furniture_equipment",1386,"5","3","4","4","1","2","1",40,"3","1","1","3","2","2","2",0
"4",12,"4","furniture_equipment",618,"1","5","4","3","1","4","1",56,"3","2","1","3","2","1","2",0
"4",12,"2","car_used",1574,"1","3","4","3","1","2","1",50,"3","2","1","3","2","1","2",0
"4",12,"2","furniture_equipment",886,"5","3","4","2","1","2","3",21,"3","2","1","3","2","1","2",0
"4",36,"2","car_new",4686,"1","3","2","3","1","2","4",32,"3","3","1","4","2","2","2",0
"2",12,"2","furniture_equipment",766,"3","3","4","3","1","3","1",66,"3","2","1","2","2","1","2",1
"1",20,"2","car_used",2212,"5","4","4","3","1","4","3",39,"3","2","1","3","2","2","2",0
"2",10,"2","other",7308,"1","1","2","3","1","4","4",70,"1","3","1","4","2","2","2",0
"2",24,"4","repairs",5743,"1","2","2","2","1","4","4",24,"3","3","2_to_3","3","2","2","2",0
"1",14,"2","other",3973,"1","1","1","3","1","4","4",22,"3","3","1","3","2","1","2",0
"2",60,"3","furniture_equipment",7418,"5","3","1","3","1","1","1",27,"3","2","1","2","2","1","2",0
"2",20,"3","business",2629,"1","3","2","3","1","3","3",29,"1","2","2_to_3","3","2","2","2",0
"2",18,"2","travel",1941,"4","3","4","3","1","2","2",35,"3","2","1","2","2","2","2",0
"2",24,"3","car_used",2333,"5","2","4","3","1","2","2",29,"1","2","1","2","2","1","2",0
"4",12,"2","car_new",2445,"5","2","2","4","1","4","3",26,"3","1","1","3","2","2","2",0
"2",20,"2","car_new",6468,"5","1","1","1","1","4","1",60,"3","2","1","4","2","2","2",0
"2",18,"4","car_used",7374,"1","1","4","3","1","4","2",40,"2","2","2_to_3","4","2","2","2",0
"1",28,"2","other",4006,"1","3","3","3","1","2","3",45,"3","2","1","2","2","1","2",1
"2",12,"2","other",7472,"5","1","1","2","1","2","1",24,"3","1","1","1","2","1","2",0
"2",12,"2","car_new",2028,"5","3","4","3","1","2","3",30,"3","2","1","3","2","1","2",0
"4",15,"2","other",5324,"3","5","1","2","1","4","4",35,"3","3","1","3","2","1","2",0
"4",12,"2","repairs",1393,"1","5","4","3","1","4","2",47,"1","2","4_or_more","3","1","2","2",0
"4",18,"2","car_used",1984,"1","3","4","3","1","4","4",47,"1","3","2_to_3","3","2","1","2",0
"4",24,"2","furniture_equipment",999,"5","5","4","3","1","2","3",25,"3","2","2_to_3","3","2","1","2",0
"4",36,"2","travel",7409,"5","5","3","3","1","2","2",37,"3","2","2_to_3","3","2","1","2",0
"4",15,"2","car_used",2186,"5","4","1","2","1","4","1",33,"1","1","1","2","2","1","2",0
"3",36,"2","furniture_equipment",4473,"1","5","4","3","1","2","3",31,"3","2","1","3","2","1","2",0
"4",24,"2","travel",937,"1","2","4","4","1","3","3",27,"3","2","2_to_3","2","2","1","2",0
"4",18,"2","car_used",3422,"1","5","4","3","1","4","2",47,"1","2","4_or_more","3","1","2","2",0
"4",24,"2","furniture_equipment",3105,"5","2","4","3","1","2","3",25,"3","2","2_to_3","3","2","1","2",0
"4",12,"4","repairs",2748,"1","5","2","2","1","4","4",57,"1","3","4_or_more","2","2","1","2",0
"4",27,"2","electronics_appliances",5190,"5","5","4","3","1","4","2",48,"3","2","4_or_more","3","1","2","2",0
"2",18,"2","car_used",3001,"1","4","2","2","1","4","1",40,"3","1","1","3","2","1","2",0
"4",24,"3","travel",3863,"1","3","1","3","1","2","4",32,"3","3","1","3","2","1","2",0
"4",12,"4","car_used",5801,"5","5","2","3","1","4","2",49,"3","1","1","3","2","2","1",0
"4",12,"4","car_used",1592,"4","4","3","2","1","2","2",35,"3","2","1","3","2","1","2",0
"4",12,"4","travel",1185,"1","3","3","2","1","2","1",27,"3","2","2_to_3","3","2","1","2",0
"4",18,"4","car_used",3780,"1","2","3","1","1","2","3",35,"3","2","2_to_3","4","2","2","2",0
"2",18,"4","car_used",3612,"1","5","3","2","1","4","2",37,"3","2","1","3","2","2","1",0
"4",12,"2","travel",1076,"1","3","2","4","1","2","1",26,"3","2","1","3","2","2","2",0
"4",18,"2","furniture_equipment",2051,"1","2","4","3","1","1","1",33,"3","2","1","3","2","1","2",0
"4",12,"4","car_used",3331,"1","5","2","3","1","4","2",42,"2","2","1","3","2","1","2",0
"1",18,"0","travel",3104,"1","4","3","3","1","1","2",31,"1","2","1","3","2","2","2",0
"4",24,"4","furniture_equipment",2611,"1","5","4","4","2","3","1",46,"3","2","2_to_3","3","2","1","2",0
"4",24,"2","furniture_equipment",1311,"2","4","4","4","1","3","2",26,"3","2","1","3","2","2","2",0
"4",24,"4","car_new",4042,"5","4","3","3","1","4","2",43,"3","2","2_to_3","3","2","2","2",0
"4",12,"4","other",926,"1","1","1","2","1","2","2",38,"3","2","1","1","2","1","2",0
"4",24,"4","other",2463,"2","4","4","4","1","3","2",27,"3","2","2_to_3","3","2","2","2",0
"4",24,"4","electronics_appliances",2058,"1","3","4","1","1","2","1",33,"3","2","2_to_3","3","2","2","2",0
"4",12,"4","furniture_equipment",1240,"5","5","4","2","1","2","1",38,"3","2","2_to_3","3","2","2","2",0
"4",24,"4","car_new",6842,"5","3","2","3","1","4","2",46,"3","2","2_to_3","4","1","2","2",0
"4",6,"4","other",2080,"3","3","1","4","1","2","3",24,"3","2","1","3","2","1","2",0
"4",6,"2","repairs",1538,"1","2","1","2","1","2","4",56,"3","2","1","3","2","1","2",0
"2",24,"4","other",3878,"2","2","4","1","1","2","3",37,"3","2","1","3","2","2","2",0
"2",30,"2","car_used",3832,"1","2","2","4","1","1","2",22,"3","2","1","3","2","1","2",0
"4",15,"2","other",3186,"4","4","2","2","1","3","3",20,"3","1","1","3","2","1","2",0
"2",24,"2","furniture_equipment",2896,"2","2","2","3","1","1","3",29,"3","2","1","3","2","1","2",0
"4",36,"2","repairs",1819,"1","3","4","3","1","4","4",37,"2","3","1","3","2","2","2",1
"4",24,"2","furniture_equipment",5943,"5","2","1","2","1","1","3",44,"3","2","2_to_3","3","2","2","2",1
"4",36,"4","car_used",7127,"1","2","2","2","1","4","2",23,"3","1","2_to_3","3","2","2","2",1
"4",36,"2","car_used",3349,"1","3","4","2","1","2","3",28,"3","2","1","4","2","2","2",1
"4",6,"2","furniture_equipment",518,"1","3","3","2","1","1","1",29,"3","2","1","3","2","1","2",0
"2",12,"4","car_new",1860,"1","1","4","3","1","2","3",34,"3","2","2_to_3","4","2","2","2",0
"2",12,"2","furniture_equipment",2930,"1","4","2","2","1","1","1",27,"3","2","1","3","2","1","2",0
"4",18,"2","furniture_equipment",1505,"1","3","4","3","1","2","4",32,"3","3","1","4","2","2","2",0
"4",18,"4","furniture_equipment",2238,"1","3","2","2","1","1","3",25,"3","2","2_to_3","3","2","1","2",0
"4",24,"4","car_new",2197,"5","4","4","3","1","4","3",43,"3","2","2_to_3","3","1","2","2",0
"3",12,"2","furniture_equipment",1881,"1","3","2","2","1","2","3",44,"3","1","1","2","2","2","2",0
"1",18,"4","furniture_equipment",1880,"1","4","4","4","1","1","2",32,"3","2","2_to_3","4","2","2","2",0
"1",18,"2","furniture_equipment",2389,"1","2","4","2","1","1","3",27,"2","2","1","3","2","1","2",0
"4",4,"4","other",3380,"1","4","1","2","1","1","1",37,"3","2","1","3","1","1","2",0
"4",4,"4","other",1455,"1","4","2","3","1","1","1",42,"3","2","4_or_more","2","1","1","2",0
"2",18,"0","car_used",3244,"1","3","1","2","1","4","3",33,"1","2","2_to_3","3","2","2","2",0
"2",9,"2","furniture_equipment",1670,"1","2","4","2","1","2","3",22,"3","2","1","3","2","2","2",1
"2",48,"2","furniture_equipment",3979,"5","4","4","3","1","1","3",41,"3","2","2_to_3","3","1","2","2",0
"4",4,"4","furniture_equipment",1544,"1","4","2","3","1","1","1",42,"3","2","4_or_more","2","1","1","2",0
"2",30,"2","furniture_equipment",1715,"5","3","4","2","1","1","3",26,"3","2","1","3","2","1","2",0
"3",10,"4","furniture_equipment",1347,"5","4","4","3","1","2","2",27,"3","2","2_to_3","3","2","2","2",0
"2",12,"2","other",1007,"4","3","4","4","1","1","1",22,"3","2","1","3","2","1","2",0
"4",12,"4","car_used",1402,"3","4","3","2","1","4","3",37,"3","1","1","3","2","2","2",0
"2",12,"2","other",2002,"1","4","3","3","1","4","2",30,"3","1","1","3","1","2","2",0
"4",12,"4","repairs",2096,"1","4","2","3","1","3","1",49,"3","2","1","2","1","1","2",0
"4",12,"2","other",1101,"1","3","3","4","1","2","1",27,"3","2","2_to_3","3","2","2","2",0
"2",11,"2","car_used",1577,"4","2","4","2","1","1","1",20,"3","2","1","3","2","1","2",0
"4",33,"3","travel",2764,"1","3","2","2","1","2","3",26,"3","2","2_to_3","3","2","2","2",0
"2",48,"0","other",8358,"3","2","1","2","1","1","3",30,"3","2","2_to_3","3","2","1","2",0
"4",24,"2","car_new",5433,"5","1","2","2","1","4","2",26,"3","1","1","4","2","2","2",0
"2",14,"2","travel",1410,"3","5","1","4","1","2","1",35,"3","2","1","3","2","2","2",0
"4",20,"4","other",3485,"5","2","2","1","1","4","1",44,"3","2","2_to_3","3","2","2","2",0
"4",18,"4","car_new",3850,"1","4","3","3","1","1","3",27,"3","2","2_to_3","3","2","1","2",0
"2",60,"2","other",7408,"2","2","4","2","1","2","2",24,"3","2","1","4","2","1","2",1
"3",24,"2","furniture_equipment",1377,"2","5","4","2","1","2","4",47,"3","3","1","3","2","2","2",0
"4",6,"4","other",362,"2","3","4","2","1","4","3",52,"3","2","2_to_3","2","2","1","2",0
"4",48,"2","furniture_equipment",10222,"5","4","4","3","1","3","3",37,"2","2","1","3","2","2","2",0
"3",12,"2","other",1330,"1","2","4","3","1","1","1",26,"3","2","1","3","2","1","2",0
"4",36,"2","repairs",9055,"5","3","2","3","1","4","4",35,"3","3","1","2","1","2","2",0
"2",26,"2","car_new",7966,"1","2","2","3","1","3","3",30,"3","2","2_to_3","3","2","1","2",0
"2",30,"1","car_used",3496,"4","3","4","3","1","2","3",34,"2","2","1","3","1","2","2",0
"2",36,"2","car_new",6948,"1","3","2","3","1","2","3",35,"3","1","1","4","2","2","2",0
"1",36,"2","car_used",3446,"1","5","4","3","1","2","3",42,"3","2","1","3","1","1","2",1
"1",42,"2","furniture_equipment",7174,"5","4","4","2","1","3","3",30,"3","2","1","4","2","2","2",1
"1",24,"1","furniture_equipment",1546,"1","4","4","3","3","4","3",24,"1","1","1","2","2","1","2",1
"4",24,"2","furniture_equipment",3621,"2","5","2","3","1","4","3",31,"3","2","2_to_3","3","2","1","2",1
"1",12,"2","electronics_appliances",741,"2","1","4","2","1","3","2",22,"3","2","1","3","2","1","2",1
"1",12,"2","car_used",7865,"1","5","4","3","1","4","4",53,"3","3","1","4","2","2","2",1
"1",24,"2","car_new",2910,"1","4","2","3","1","1","4",34,"3","3","1","4","2","2","2",0
"1",18,"4","other",5302,"1","5","2","3","1","4","4",36,"3","3","4_or_more","4","2","2","2",0
"1",36,"2","car_used",3620,"1","3","1","3","3","2","2",37,"3","2","1","3","1","1","2",0
"2",12,"2","car_used",3017,"1","2","3","2","1","1","1",34,"3","1","1","4","2","1","2",0
"1",12,"2","car_used",1657,"1","3","2","3","1","2","1",27,"3","2","1","3","2","1","2",0
"1",8,"4","business",1164,"1","5","3","3","1","4","4",51,"1","3","2_to_3","4","1","2","2",0
"1",24,"1","other",1193,"1","1","1","2","2","4","4",29,"3","1","2_to_3","1","2","1","2",1
"1",12,"2","car_used",708,"1","3","2","3","3","3","2",38,"3","2","1","2","1","1","2",0
"1",21,"4","other",571,"1","5","4","3","1","4","1",65,"3","2","2_to_3","3","2","1","2",0
"1",30,"2","furniture_equipment",2522,"1","5","1","3","3","3","2",39,"3","2","1","3","1","1","2",0
"1",36,"2","car_new",8229,"1","3","2","3","1","2","2",26,"3","2","1","3","1","1","2",1
"4",24,"4","car_used",2028,"1","4","2","3","1","2","2",30,"3","2","2_to_3","2","2","1","2",0
"1",6,"2","other",1374,"5","1","4","2","1","3","2",75,"3","2","1","4","2","2","2",0
"1",12,"2","car_used",1289,"1","3","4","3","3","1","2",21,"3","2","1","2","2","1","2",0
"1",36,"2","car_used",2712,"1","5","2","3","1","2","2",41,"1","2","1","3","1","1","2",1
"2",6,"3","car_used",1050,"1","1","4","3","1","1","2",35,"2","2","2_to_3","4","2","2","1",0
"1",6,"4","other",609,"1","4","4","2","1","3","2",37,"3","2","2_to_3","3","2","1","2",0
"2",12,"2","other",836,"2","2","4","2","1","2","2",23,"1","2","1","2","2","1","2",1
"1",12,"2","car_used",2577,"1","3","2","1","1","1","3",42,"3","2","1","3","2","1","2",0
"1",12,"2","car_used",1620,"1","3","2","2","2","3","2",30,"3","2","1","3","2","1","2",0
"1",24,"2","car_new",6579,"1","1","4","3","1","2","4",29,"3","3","1","4","2","2","2",0
"1",12,"2","other",1893,"1","3","4","2","3","4","2",29,"3","2","1","3","2","2","2",0
"1",30,"4","car_new",10623,"1","5","3","3","1","4","4",38,"3","3","4_or_more","4","1","2","2",0
"1",18,"2","other",2249,"2","4","4","3","1","3","3",30,"3","2","1","4","1","2","2",0
"1",30,"2","car_used",3108,"1","2","2","1","1","4","2",31,"3","2","1","2","2","1","2",1
"2",12,"4","other",958,"1","4","2","3","1","3","1",47,"3","2","2_to_3","2","1","1","2",0
"4",24,"2","car_new",9277,"5","3","2","1","1","4","4",48,"3","3","1","3","2","2","2",0
"4",24,"4","business",6314,"1","1","4","3","2","2","4",27,"1","2","2_to_3","4","2","2","2",0
"1",12,"2","car_used",3590,"1","3","2","3","2","2","2",29,"3","2","1","2","1","1","2",0
"1",24,"4","car_new",6615,"1","1","2","3","1","4","4",75,"3","3","2_to_3","4","2","2","2",0
"4",18,"4","furniture_equipment",1582,"4","5","4","3","1","4","3",46,"3","2","2_to_3","3","2","1","2",0
"4",6,"2","travel",1238,"5","1","4","3","1","4","2",36,"3","2","1","4","1","2","2",0
"1",12,"2","car_used",2578,"1","1","3","2","1","4","4",55,"3","3","1","4","2","1","2",0
"1",15,"4","car_used",1433,"1","3","4","2","1","3","2",25,"3","1","2_to_3","3","2","1","2",0
"1",42,"2","car_used",7882,"1","4","2","3","3","4","2",45,"3","3","1","3","1","1","2",0
"1",24,"2","car_used",4169,"1","3","4","3","1","4","2",28,"3","2","1","3","2","1","2",0
"1",36,"2","other",3249,"1","4","2","3","1","4","4",39,"1","3","1","4","1","2","2",0
"1",12,"4","car_used",2246,"1","5","3","3","1","3","2",60,"3","2","2_to_3","3","2","1","2",1
"1",13,"4","travel",1797,"1","2","3","3","1","1","2",28,"1","2","2_to_3","2","2","1","2",0
"1",20,"4","car_used",4272,"1","5","1","2","1","4","2",24,"3","2","2_to_3","3","2","1","2",0
"1",36,"4","car_used",2348,"1","3","3","4","1","2","2",46,"3","2","2_to_3","3","2","2","2",0
"1",24,"4","car_new",6419,"1","5","2","2","1","4","4",44,"3","3","2_to_3","4","1","2","2",0
"1",48,"4","car_new",6143,"1","5","4","2","1","4","4",58,"2","3","2_to_3","2","2","1","2",1
"4",24,"4","repairs",1597,"1","5","4","3","1","4","4",54,"3","3","2_to_3","3","1","1","2",0
"2",30,"3","travel",2503,"2","5","4","3","1","2","2",41,"2","2","2_to_3","3","2","1","2",0
"2",18,"2","travel",2622,"2","3","4","3","1","4","3",34,"3","2","1","3","2","1","2",0
"2",24,"2","car_used",4351,"5","3","1","2","1","4","2",48,"3","2","1","2","2","2","2",0
"2",6,"2","furniture_equipment",368,"5","5","4","3","1","4","2",38,"3","2","1","3","2","1","2",0
"4",24,"4","furniture_equipment",2424,"5","5","4","3","1","4","2",53,"3","2","2_to_3","3","2","1","2",0
"2",48,"3","travel",6681,"5","3","4","3","1","4","4",38,"3","3","1","3","1","2","2",0
"2",18,"3","travel",2427,"5","5","4","3","1","2","2",42,"3","2","2_to_3","3","2","1","2",0
"2",24,"4","furniture_equipment",1216,"2","2","4","3","1","4","4",38,"1","2","2_to_3","3","1","1","2",1
"2",6,"2","furniture_equipment",753,"1","3","2","2","3","3","1",64,"3","2","1","3","2","1","2",0
"2",7,"2","furniture_equipment",2576,"1","3","2","3","3","2","1",35,"3","2","1","3","2","1","1",0
"2",6,"2","furniture_equipment",590,"1","2","3","4","1","3","1",26,"3","2","1","2","2","1","1",0
"2",8,"2","furniture_equipment",1414,"1","3","4","3","3","2","1",33,"3","2","1","3","2","1","1",0
"2",12,"2","furniture_equipment",1103,"1","4","4","3","3","3","1",29,"3","2","2_to_3","3","2","1","2",0
"2",6,"2","furniture_equipment",1068,"1","5","4","3","1","4","3",28,"3","2","1","3","1","1","2",0
"1",8,"4","other",713,"1","5","4","3","1","4","1",47,"3","2","2_to_3","2","2","1","2",0
"2",7,"2","furniture_equipment",2329,"1","2","1","2","3","1","1",45,"3","2","1","3","2","1","2",0
"2",13,"4","furniture_equipment",882,"1","2","4","3","3","4","1",23,"3","2","2_to_3","3","2","1","2",0
"2",18,"2","furniture_equipment",866,"1","3","4","4","3","2","1",25,"3","2","1","2","2","1","2",0
"2",13,"2","furniture_equipment",2101,"1","2","2","2","3","4","2",23,"3","2","1","2","2","1","2",0
"2",18,"2","furniture_equipment",1301,"1","5","4","4","3","2","1",32,"3","2","1","2","2","1","2",0
"2",18,"2","furniture_equipment",1113,"1","3","4","2","3","4","1",26,"3","2","1","2","1","1","2",0
"2",8,"2","furniture_equipment",760,"1","4","4","2","3","2","1",44,"3","2","1","2","2","1","2",0
"2",12,"2","furniture_equipment",625,"1","2","4","4","3","1","1",26,"1","2","1","2","2","1","2",0
"3",6,"4","other",1323,"2","5","2","1","1","4","3",28,"3","2","2_to_3","3","1","2","2",0
"2",18,"4","furniture_equipment",1795,"1","5","3","2","3","4","1",48,"1","1","2_to_3","2","2","2","2",0
"2",10,"1","furniture_equipment",1048,"1","3","4","3","1","4","1",23,"2","2","1","2","2","1","2",0
"2",12,"2","furniture_equipment",1155,"1","5","3","4","3","3","1",40,"1","2","2_to_3","2","2","1","2",0
"2",20,"3","car_new",7057,"5","4","3","3","1","4","2",36,"1","1","2_to_3","4","1","2","2",0
"1",12,"2","furniture_equipment",2214,"1","3","4","3","1","3","2",24,"3","2","1","2","2","1","2",0
"2",36,"1","electronics_appliances",3990,"5","2","3","2","1","2","4",29,"1","2","1","1","2","1","2",0
"1",24,"2","furniture_equipment",1282,"2","3","4","2","1","2","3",32,"3","2","1","2","2","1","2",1
"4",60,"2","furniture_equipment",10144,"2","4","2","2","1","4","1",21,"3","2","1","3","2","2","2",0
"1",12,"2","other",1168,"1","3","4","4","1","3","1",27,"3","2","1","2","2","1","2",0
"2",6,"2","electronics_appliances",454,"1","2","3","4","1","1","2",22,"3","2","1","2","2","1","2",0
"4",15,"3","car_new",3594,"1","2","1","2","1","2","2",46,"3","2","2_to_3","2","2","1","2",0
"4",12,"2","car_used",1768,"1","3","3","3","1","2","1",24,"3","1","1","2","2","1","2",0
"4",60,"3","furniture_equipment",15653,"1","4","2","3","1","4","3",21,"3","2","2_to_3","3","2","2","2",0
"3",12,"3","other",2247,"1","3","2","2","1","2","3",36,"2","2","2_to_3","3","2","2","2",0
"4",24,"2","furniture_equipment",1413,"1","3","4","4","1","2","2",28,"3","2","1","3","2","1","2",0
"2",45,"4","car_new",4576,"2","1","3","3","1","4","3",27,"3","2","1","3","2","1","2",0
"1",24,"4","furniture_equipment",1231,"4","5","4","2","1","4","2",57,"3","1","2_to_3","4","2","2","2",0
"1",36,"2","car_new",8335,"5","5","3","3","1","4","4",47,"3","3","1","3","2","1","2",1
"2",36,"4","car_new",5800,"1","3","3","3","1","4","3",34,"3","2","2_to_3","3","2","2","2",0
"1",48,"1","travel",7685,"1","4","2","2","3","4","3",37,"3","1","1","3","2","1","2",1
"4",48,"4","repairs",6110,"1","3","1","3","1","3","4",31,"1","3","1","3","2","2","2",0
"4",24,"2","other",3757,"1","5","4","2","2","4","4",62,"3","3","1","3","2","2","2",0
"1",42,"4","electronics_appliances",3394,"1","1","4","3","2","4","3",65,"3","2","2_to_3","1","2","1","2",0
"4",9,"4","repairs",1244,"5","5","4","2","1","4","2",41,"3","1","2_to_3","2","2","1","2",0
"4",36,"0","electronics_appliances",2613,"1","3","4","3","1","2","3",27,"3","2","2_to_3","3","2","1","2",0
"1",48,"2","repairs",7476,"1","4","4","3","1","1","4",50,"3","3","1","4","2","2","2",0
"2",48,"3","repairs",6224,"1","5","4","3","1","4","4",50,"3","3","1","3","2","1","2",1
"3",15,"2","repairs",1905,"1","5","4","3","1","4","3",40,"3","1","1","4","2","2","2",0
"4",21,"3","car_new",2993,"1","3","3","3","1","2","1",28,"2","2","2_to_3","2","2","1","2",0
"1",24,"2","car_used",4020,"1","3","2","3","1","2","3",27,"2","2","1","3","2","1","2",0
"2",18,"2","car_new",2779,"1","3","1","4","1","3","3",21,"3","1","1","3","2","2","2",0
"4",21,"2","other",2782,"3","4","1","2","1","2","3",31,"1","2","1","4","2","1","2",0
"4",12,"2","other",1884,"1","5","4","3","1","4","3",39,"3","2","1","4","2","2","2",0
"4",36,"4","car_new",11054,"5","3","4","3","1","2","3",30,"3","2","1","4","2","2","2",0
"2",60,"3","furniture_equipment",9157,"5","3","2","3","1","2","4",27,"3","3","1","4","2","1","2",0
"2",42,"1","car_new",9283,"1","1","1","3","1","2","4",55,"1","3","1","4","2","2","2",0
"4",60,"2","other",6527,"5","3","4","3","1","4","4",34,"3","3","1","3","1","2","2",0
"1",15,"2","other",2511,"1","1","1","2","1","4","3",23,"3","1","1","3","2","1","2",0
"1",36,"2","car_new",5493,"1","5","2","3","1","4","4",42,"3","3","1","3","1","1","2",0
"4",18,"4","furniture_equipment",1149,"4","3","4","3","1","3","1",46,"3","2","2_to_3","3","2","1","2",0
"2",15,"2","electronics_appliances",1308,"1","5","4","3","1","4","3",38,"3","2","2_to_3","2","2","1","2",0
"4",12,"2","car_used",1736,"1","4","3","2","1","4","1",31,"3","2","1","2","2","1","2",0
"4",12,"2","furniture_equipment",3059,"4","4","2","1","1","4","1",61,"3","2","1","2","2","1","2",0
"1",24,"2","car_used",2996,"5","3","2","4","1","4","3",20,"3","2","1","3","2","1","2",1
"4",30,"4","car_new",7596,"5","5","1","3","1","4","3",63,"3","2","2_to_3","3","2","1","2",0
"4",24,"4","electronics_appliances",5507,"1","5","3","3","1","4","4",44,"3","3","2_to_3","3","2","1","2",0
"2",9,"2","repairs",1199,"1","4","4","2","1","4","2",67,"3","2","2_to_3","4","2","2","2",0
"2",6,"2","other",14555,"5","1","1","3","1","2","2",23,"3","2","1","1","2","2","2",1
"1",15,"0","other",950,"1","5","4","3","1","3","3",33,"3","1","2_to_3","3","1","1","2",1
"1",24,"4","other",1199,"1","5","4","3","1","4","3",60,"3","2","2_to_3","2","2","1","2",1
"2",36,"4","other",2820,"1","2","4","1","1","4","3",27,"3","2","2_to_3","3","2","1","2",1
"2",48,"2","furniture_equipment",3060,"1","4","4","3","1","4","1",28,"3","2","2_to_3","3","2","1","2",1
"1",18,"2","furniture_equipment",2600,"1","3","4","3","1","4","4",65,"3","3","2_to_3","3","2","1","2",1
"2",39,"4","furniture_equipment",4933,"1","4","2","3","3","2","1",25,"3","2","2_to_3","3","2","1","2",1
"2",9,"1","other",1437,"2","4","2","3","1","3","4",29,"3","2","1","3","2","1","2",1
"1",18,"2","electronics_appliances",1217,"1","3","4","4","1","3","1",47,"3","2","1","2","2","2","2",1
"1",36,"2","other",9271,"1","4","2","3","1","1","3",24,"3","2","1","3","2","2","2",1
"1",36,"3","travel",2145,"1","4","2","3","1","1","3",24,"3","2","2_to_3","3","2","2","2",1
"2",18,"3","car_used",4297,"1","5","4","1","1","3","4",40,"3","2","1","4","2","2","2",1
"1",6,"4","car_used",3384,"1","3","1","1","1","4","1",44,"3","1","1","4","2","2","2",1
"2",30,"4","car_used",8386,"1","4","2","3","1","2","2",49,"3","2","1","3","2","1","2",1
"1",24,"3","furniture_equipment",1024,"1","2","4","4","1","4","1",48,"2","2","1","3","2","1","2",1
